,state,district,category,type,date,crimes
316,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2020,0
317,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2021,0
318,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2022,0
319,Johor,Johor Bahru Utara,assault,robbery_gang_armed,2023,0
320,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2016,283
321,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2017,202
322,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2018,148
323,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2019,173
324,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2020,45
325,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2021,64
326,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2022,61
327,Johor,Johor Bahru Utara,assault,robbery_gang_unarmed,2023,43
328,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2016,0
329,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2017,0
330,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2018,0
331,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2019,0
332,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2020,0
333,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2021,0
334,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2022,0
335,Johor,Johor Bahru Utara,assault,robbery_solo_armed,2023,0
336,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2016,86
337,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2017,89
338,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2018,68
339,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2019,60
340,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2020,98
341,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2021,22
342,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2022,20
343,Johor,Johor Bahru Utara,assault,robbery_solo_unarmed,2023,27
344,Johor,Johor Bahru Utara,property,break_in,2016,333
345,Johor,Johor Bahru Utara,property,break_in,2017,229
346,Johor,Johor Bahru Utara,property,break_in,2018,238
347,Johor,Johor Bahru Utara,property,break_in,2019,233
348,Johor,Johor Bahru Utara,property,break_in,2020,149
349,Johor,Johor Bahru Utara,property,break_in,2021,91
350,Johor,Johor Bahru Utara,property,break_in,2022,53
351,Johor,Johor Bahru Utara,property,break_in,2023,53
352,Johor,Johor Bahru Utara,property,theft_other,2016,374
